TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t10random2,500000.0,2.0,3.434140635E8,3.2693910050200794E7,9457250.0,93.33809511662427
t10random2,550000.0,2.0,3.57019236E8,1.359879618728077E7,1.03621575E7,3059.651042194191
t10random2,605000.0,2.0,4.574077965E8,6.48351221057024E7,1.14503175E7,685.1864709697645
t10random2,665500.0,2.0,5.752448085E8,2960586.089256737,1.32395015E7,760.1397897755386
t10random2,732050.0,2.0,6.27338763E8,1242952.2999697132,1.4394928E7,3128.240399969286
t10random2,805255.0,2.0,6.62128217E8,2716774.963996834,1.57843195E7,140.71424945612296
t10random2,885780.0,2.0,7.47279323E8,1.3553466399966026E7,1.7400174E7,1274.2064196981587
t10random2,974358.0,2.0,8.85059967E8,5.797455786127582E7,1.9149308E7,1313.8043994446052
t10random2,1071793.0,2.0,9.35443171E8,2.894400328852251E7,2.13076215E7,2420.426512001552
t10random2,1178972.0,2.0,1.047863779E9,7.382407493307337E7,2.3492963E7,923.481456229631
t10random2,1296869.0,2.0,1.1758398835E9,3.6085219628615595E7,2.5909909E7,1076.2165209659254
t10random2,1426555.0,2.0,1.3669710945E9,1.3484244181621768E7,2.95507665E7,1672.3075375061849
t10random2,1569210.0,2.0,1.501350429E9,817876.4726729826,3.23831805E7,1020.3550852521881
t10random2,1726131.0,2.0,1.8266331075E9,1.0392884137906794E8,3.56990185E7,625.7895013500946
t10random2,1898744.0,2.0,2.1487525005E9,5.547386977986213E7,3.9223147E7,857.0134187980956
t10random2,2088618.0,2.0,2.3337054755E9,7990235.209623087,4.35422455E7,1192.8891398617056
t10random2,2297479.0,2.0,3.358760357E9,3.740838400052277E8,4.81900355E7,1130.6637431172894
t10random2,2527226.0,2.0,3.167403617E9,2.046360095107413E7,5.2953881E7,7656.552226687937
t10random2,2779948.0,2.0,3.6968774765E9,8.65554893948235E7,6.0477846E7,1868.1761158948586
