TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t12e1_5,125000.0,8.0,1.724880947875E9,7.927231981506172E7,1.7339441975E8,2108.0846926557756
t12e1_5,250000.0,8.0,1.644932125125E9,9.303210960341431E7,1.73393053875E8,1951.5092648364455
t12e1_5,500000.0,8.0,1.657448718625E9,9.824702982597622E7,1.733939375E8,596.9989231876758
t12e1_5,1000000.0,8.0,1.5386769896249998E9,8.431504227760035E7,1.73394269875E8,576.5335915136172
t12e1_5,2000000.0,8.0,1.88892237475E9,3.0062186107546065E7,1.73393420625E8,1471.356025429713
t12e1_5,4000000.0,4.0,2.865831604E9,4.21353952437826E7,1.7339522175E8,2201.8721390368396
t12e1_5,8000000.0,2.0,4.699989854E9,1.956773625729052E7,1.733946675E8,977.9286783809953
