TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t12e1_3,31250.0,32.0,3.443839309375E8,1.2861665252087656E7,3.934850671875001E7,919.7364711753143
t12e1_3,62500.0,32.0,3.5164449081250006E8,1.3706794363356113E7,3.934867359375E7,690.8390344879912
t12e1_3,125000.0,32.0,3.4991753918749994E8,1.9506214162543878E7,3.934855403125001E7,818.1853439509348
t12e1_3,250000.0,32.0,3.3037598174999994E8,3.2550180566184662E7,3.934819034375E7,856.0297933226595
t12e1_3,500000.0,32.0,4.059857838437499E8,8427105.577075064,3.934849015625001E7,717.0262113064456
t12e1_3,1000000.0,16.0,6.212745676874999E8,3.743750138828017E7,3.934876243749999E7,694.1184306964162
t12e1_3,2000000.0,16.0,1.0115894895625E9,1.3299800505353827E7,3.934843868749999E7,604.1360463502351
