TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t12e1_4,62500.0,16.0,8.008690001875E8,4.330280874774581E7,8.269681675E7,903.8015637671415
t12e1_4,125000.0,16.0,7.902157709999999E8,3.6995568976076424E7,8.269734756249999E7,1108.41568428688
t12e1_4,250000.0,16.0,8.167355884375001E8,4.3348993806994185E7,8.269645275E7,1379.756282826849
t12e1_4,500000.0,16.0,7.564367344375001E8,2.0832423638412047E7,8.269675799999999E7,1250.584236799362
t12e1_4,1000000.0,16.0,9.334548514374999E8,2.330308605703979E7,8.26969558125E7,1134.7989671444661
t12e1_4,2000000.0,8.0,1.426865494875E9,2.208952372367162E7,8.269744337500001E7,1602.1932233676803
t12e1_4,4000000.0,4.0,2.42630425025E9,3.324837348367051E7,8.2697378E7,512.2551447600644
