TITLE,PARAMETER,RUNS,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t7e2_1,1.0,3.0,32.0,2.6131312770833332E7,1037416.7885021233,1566535.1875,36.62639982393164
t7e2_1,2.0,3.0,32.0,2.30402803125E7,145533.7553246447,1566485.7291666667,7.451951121774849
t7e2_1,3.0,3.0,32.0,2.3321692385416668E7,271614.22093237966,1624783.0,33.222321656530866
t7e2_1,4.0,3.0,32.0,2.2318150072916668E7,152583.7922241236,1572803.5,29.867987539964926
t7e2_1,5.0,3.0,32.0,2.317390284375E7,545685.8839744417,1582113.4375,48.90860617327486
t7e2_1,6.0,3.0,32.0,2.2607981875E7,504029.25276822253,1645060.96875,44.94427973891672
t7e2_1,7.0,3.0,32.0,2.3255574260416668E7,961669.3082991937,1572617.0625,59.96420644590821
t7e2_1,8.0,3.0,32.0,2.3155480114583332E7,423376.9170670154,1610823.0104166667,93.70968577650552
t7e2_1,9.0,3.0,32.0,2.2728915479166668E7,104162.44318944124,1612711.3541666667,118.16476403031677
t7e2_1,10.0,3.0,32.0,2.2005051760416668E7,1078693.9296880271,1640133.9375,54.835416033458706
t7e2_1,11.0,3.0,32.0,2.4464144864583332E7,502401.2819441049,1675399.3333333333,132.49882934823606
t7e2_1,12.0,3.0,32.0,2.3186179614583332E7,814824.0438656522,1724256.9375,156.1892256807428
t7e2_1,13.0,3.0,32.0,2.3480515583333332E7,161728.63147106074,1659892.6875,133.61321495622167
t7e2_1,14.0,3.0,32.0,2.3055569447916668E7,878722.0184378602,1673833.6770833333,105.7252313512018
t7e2_1,15.0,3.0,32.0,2.4984382791666668E7,354789.18349661643,1706179.875,129.9439369798087
t7e2_1,16.0,3.0,32.0,2.48382245625E7,1775438.5256842412,1734857.1145833333,132.23289828183817
t7e2_1,17.0,3.0,32.0,2.469388009375E7,575080.1712420012,1733658.46875,94.60772216764337
t7e2_1,18.0,3.0,32.0,2.3447303166666668E7,224586.26704141113,1759779.5,218.2775321802212
t7e2_1,19.0,3.0,32.0,2.448492384375E7,1029352.5267995129,1792762.3958333333,191.3147774624549
t7e2_1,20.0,3.0,32.0,2.3732240947916668E7,527104.109135177,1810395.9583333333,129.86712084097164
t7e2_1,21.0,3.0,32.0,2.5833677427083332E7,508588.94326005626,1841025.9166666667,80.1943582251372
t7e2_1,22.0,3.0,32.0,2.3898273697916668E7,81984.29804349049,1869447.3541666667,246.5707189958482
t7e2_1,23.0,3.0,32.0,2.5500053645833332E7,1003903.7448568094,1902079.1354166667,325.67760541568117
t7e2_1,24.0,3.0,32.0,2.4974949239583332E7,1086248.8205860413,1941915.75,88.28073561797046
t7e2_1,25.0,3.0,32.0,2.49966243125E7,605046.9862835583,1875506.15625,329.1613336857019
t7e2_1,26.0,3.0,32.0,2.3677238177083332E7,1312002.4556158937,1901692.9375,318.8863418577809
t7e2_1,27.0,3.0,32.0,2.524764490625E7,1553893.1469925775,1921652.9895833333,408.77131219925207
t7e2_1,28.0,3.0,32.0,2.450458603125E7,270241.1141397351,1939513.9583333333,114.8010861795892
t7e2_1,29.0,3.0,32.0,2.6288716395833332E7,670400.5604833926,1965122.4166666667,237.47569023065407
t7e2_1,30.0,3.0,32.0,2.51229328125E7,952341.47340041,1996296.0208333333,60.02363087165588
t7e2_1,31.0,3.0,32.0,2.5532997197916668E7,629696.7372487269,2019519.46875,639.7672466474136
t7e2_1,32.0,3.0,32.0,2.499146596875E7,1310501.7331321808,2049241.7604166667,445.9283431669388
t7e2_1,33.0,3.0,32.0,2.5349979010416668E7,1076848.3091781393,2047946.7291666667,558.3300140798412
t7e2_1,34.0,3.0,32.0,2.7284814416666668E7,525770.822873482,2072239.7083333333,297.9697517899446
t7e2_1,35.0,3.0,32.0,2.4304992739583332E7,610687.7971510428,2100784.3020833335,738.508665591433
t7e2_1,36.0,3.0,32.0,2.3516174E7,675043.7969353005,2122588.3020833335,280.0844047123264
t7e2_1,37.0,3.0,32.0,2.3420145989583332E7,921405.5646000364,2151950.46875,206.80981790343031
t7e2_1,38.0,3.0,32.0,2.4439431416666668E7,1412498.7588502567,2180409.875,295.3485014431045
t7e2_1,39.0,3.0,32.0,2.3204294770833332E7,299365.72507292446,2212871.4166666665,311.0589152604041
t7e2_1,40.0,3.0,32.0,2.4159548927083332E7,1344634.1095545187,2222384.9479166665,114.79448915162021
t7e2_1,41.0,3.0,32.0,2.3359092645833332E7,1030213.463920939,2251386.8125,168.2142624331763
t7e2_1,42.0,3.0,32.0,2.3598382229166668E7,629792.9044829296,2277762.6041666665,129.77092321861858
t7e2_1,43.0,3.0,32.0,2.47433516875E7,807686.3760613789,2308229.4479166665,674.2455798061247
t7e2_1,44.0,3.0,32.0,2.352054025E7,354428.0529208511,2330728.34375,293.9187165085995
t7e2_1,45.0,3.0,32.0,2.5118762822916668E7,474609.0903346001,2359318.34375,829.2367967227832
t7e2_1,46.0,3.0,32.0,2.4092203979166668E7,404809.84616386396,2387698.2083333335,305.2489447880739
t7e2_1,47.0,3.0,32.0,2.535691003125E7,427201.72932993073,2419826.2291666665,277.71917079216405
t7e2_1,48.0,3.0,32.0,2.401146415625E7,820569.5441324181,2452339.6979166665,365.5385011642173
t7e2_1,49.0,3.0,32.0,2.4378020364583332E7,1750504.736595021,2386451.53125,108.20719870490365
t7e2_1,50.0,3.0,32.0,2.336928003125E7,405465.5125477413,2410085.8125,448.64793298692183
