TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t7e1_4,1.0,32.0,2.5659183718750004E7,3098164.6338402787,1566520.59375,148.6491559767035
t7e1_4,2.0,32.0,2.739164484375E7,2643063.195114862,1566555.1562499998,159.46889865146645
t7e1_4,3.0,32.0,2.4489444218749996E7,1064398.8982377737,1624741.90625,205.41372247012123
t7e1_4,4.0,32.0,2.5039506656250004E7,1633551.2745650401,1572810.0312500002,168.08743584432813
t7e1_4,5.0,32.0,2.4483503718749996E7,2647324.0302954535,1582127.21875,244.97000927364823
t7e1_4,6.0,32.0,2.4241601562499996E7,2313358.2989894757,1645014.7500000005,340.1142123160425
t7e1_4,7.0,32.0,2.23090746875E7,766267.7433757453,1572596.46875,305.18698492256976
t7e1_4,8.0,32.0,2.445491159375E7,3130746.6545711914,1610933.2812500002,454.79021994016404
t7e1_4,9.0,32.0,2.3684449374999996E7,1643735.6240893586,1612534.7187499998,501.5748896821319
t7e1_4,10.0,32.0,2.511026196875E7,3684960.721702774,1640197.8749999995,578.6592818888488
t7e1_4,11.0,32.0,2.3404982093750004E7,1688793.2981423556,1675539.875,514.3946489211797
t7e1_4,12.0,32.0,2.4058510218750004E7,1773387.7668753513,1724442.8437499998,376.9844789630227
t7e1_4,13.0,32.0,2.334238628125E7,2009272.1197490853,1659985.7812499995,603.5099878573276
t7e1_4,14.0,32.0,2.473782365625E7,4654721.070766468,1673846.1250000002,748.5932505965451
t7e1_4,15.0,32.0,2.31811269375E7,1892234.368310084,1706478.375,793.4307600337189
t7e1_4,16.0,32.0,2.56648329375E7,1748531.7746036649,1735002.53125,710.3436235429165
t7e1_4,17.0,32.0,2.28271128125E7,1355434.3931738688,1734039.46875,908.6696757552077
t7e1_4,18.0,32.0,2.325827228125E7,1344335.0648054115,1759690.21875,1041.1818264674587
t7e1_4,19.0,32.0,2.2987619093749996E7,1741713.5200210232,1792591.5624999998,1058.5571719516763
t7e1_4,20.0,32.0,2.39427409375E7,2074997.6151558917,1810537.6875,878.9619037397101
t7e1_4,21.0,32.0,2.3974946875000004E7,2037183.5650081236,1840893.0937499998,1165.548005110785
t7e1_4,22.0,32.0,2.43867920625E7,1612646.2989085012,1869245.3125000005,1265.9989154940831
t7e1_4,23.0,32.0,2.3828873312500004E7,1396456.8549276453,1901994.9374999998,1416.5253476319874
t7e1_4,24.0,32.0,2.570541375E7,1920218.567257619,1942446.21875,1269.3695599143425
t7e1_4,25.0,32.0,2.3017670281249996E7,2005438.7537653898,1875412.8124999998,1167.6862547431267
t7e1_4,26.0,32.0,2.480568909375E7,1954774.3809637516,1901820.7812500002,1700.8428979502867
t7e1_4,27.0,32.0,2.3704478062500004E7,1068434.4023443658,1921209.375,1466.0308219705819
t7e1_4,28.0,32.0,2.454091565625E7,1784833.6690452117,1939382.3437499998,1543.9457538810352
t7e1_4,29.0,32.0,2.412759359375E7,1774545.5752895714,1965472.6875000002,1345.2314931495428
t7e1_4,30.0,32.0,2.3774399250000004E7,1554265.0513346144,1995870.8437500002,1413.500689990939
