TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t4e1_2,1.0,4096.0,72918.52294921856,21852.212321245803,8707.439453124982,17.661952404220013
t4e1_2,2.0,4096.0,64263.354980468685,1232.1740075269418,8707.141357421879,17.718661161911406
t4e1_2,3.0,4096.0,64617.60791015617,2502.6224202504754,8706.828613281255,17.58060929907861
t4e1_2,4.0,4096.0,64371.70581054679,39950.496293131604,8765.130126953152,21.476964075910736
t4e1_2,5.0,4096.0,60855.18212890636,1199.4507290065128,8764.988769531281,21.67485043189563
t4e1_2,6.0,4096.0,61488.60205078126,4911.36253329125,8765.436279296904,21.720082754135596
t4e1_2,7.0,4096.0,60774.0048828126,1609.7467019443218,8811.18286132814,24.477345120394695
t4e1_2,9.0,4096.0,58214.2839355467,1206.8008102215497,9128.140136718739,40.52377936348907
t4e1_2,11.0,4096.0,71437.6450195313,504268.02332214185,9127.757080078118,40.65553590143532
t4e1_2,14.0,4096.0,58297.930908203176,1780.287459978864,9127.644042968755,41.51626485821443
t4e1_2,18.0,4096.0,56915.757324218815,6553.560040399475,10323.57788085939,81.45648689119791
t4e1_2,23.0,4096.0,56370.966064453125,1145.55287698303,10325.032714843746,83.36209264358222
t4e1_2,29.0,4096.0,57010.33105468759,3334.9528469093257,10325.55102539062,82.45709186569911
t4e1_2,37.0,4096.0,59152.34375000003,1175.1556185104714,13372.695068359351,166.2308206938978
t4e1_2,48.0,4096.0,59471.255859375095,2502.312676428098,13372.166992187476,168.0247814280809
t4e1_2,62.0,4096.0,64159.7504882812,5304.995844727507,16763.248046875036,259.04046005854855
t4e1_2,80.0,4096.0,70394.26391601551,5728.003949189521,20275.406738281275,340.8952052975782
t4e1_2,104.0,4096.0,69146.52441406233,1304.0098887201798,20263.212646484426,327.5795683095173
t4e1_2,135.0,2048.0,100300.99560546881,2610.782016212765,34941.08740234377,654.0632869001518
t4e1_2,175.0,2048.0,99967.38818359362,1959.9838045543465,34943.86279296871,661.3739560516727
