TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t9random1,1.0,16.0,1.3203408812499998E7,273728.6482186859,1566561.625,129.85575330597234
t9random1,2.0,32.0,1.25954895625E7,259976.54103684027,1566509.8124999998,171.6339761649655
t9random1,3.0,32.0,1.2268125000000002E7,105264.00888028207,1573394.7499999995,195.22774128623783
t9random1,4.0,32.0,1.1849519593749998E7,32965.228250443535,1572738.6249999998,221.12494643407584
t9random1,5.0,32.0,1.2139727843750002E7,29717.287655840355,1584854.3125,279.7192645054603
t9random1,6.0,32.0,1.187307809375E7,126720.60490838022,1595021.9687500002,280.043715985349
t9random1,7.0,32.0,1.1756092375000002E7,110782.17475829509,1603802.625,365.087329367265
t9random1,8.0,32.0,1.1811428374999998E7,82264.09748771162,1610849.90625,393.40247464455587
t9random1,9.0,32.0,1.16389556875E7,91623.11453235407,1627732.4062499998,459.7289425354692
t9random1,10.0,32.0,1.17230936875E7,59591.7373621098,1643628.1562500002,525.7607151900248
t9random1,11.0,32.0,1.1623479250000002E7,128272.0582250493,1659489.8749999995,504.5097108947087
t9random1,12.0,32.0,1.1748782687499998E7,103907.20813378163,1675281.7812499998,751.5260918517138
t9random1,13.0,32.0,1.1389131562500002E7,44042.198138820866,1690798.96875,715.2085860590353
t9random1,14.0,32.0,1.154140221875E7,137681.92393520326,1705486.2187499998,866.8537747128756
t9random1,15.0,32.0,1.156035678125E7,43447.144543860726,1720375.4687499998,838.5431677339086
t9random1,16.0,32.0,1.145150525E7,90208.54627562322,1734994.4999999995,814.977102389551
t9random1,17.0,32.0,1.1455213562499998E7,181753.22779117993,1754978.375,961.2668640242482
t9random1,18.0,32.0,1.155531109375E7,106519.06356273161,1774917.0937500002,886.3760710412005
t9random1,19.0,32.0,1.156333725E7,99679.03870957285,1795058.3125,962.9965476606822
t9random1,20.0,32.0,1.1529617156250002E7,25908.668930475633,1814732.90625,1229.3935919105043
t9random1,21.0,32.0,1.1521776062499998E7,54603.8657818153,1834133.7499999998,1047.4899953329166
t9random1,22.0,32.0,1.1593286468750002E7,29958.84478476634,1854094.1250000002,1358.9697176715474
t9random1,23.0,32.0,1.1585223906250002E7,30616.136838706905,1874146.875,1067.3935317458283
t9random1,24.0,32.0,1.1542108062499998E7,33294.08680515975,1893504.8437500002,1429.0005781026987
t9random1,25.0,32.0,1.15542135E7,33046.48784325178,1913133.25,1340.5781131360309
t9random1,26.0,32.0,1.1665644625000002E7,146179.40176675795,1933078.1562499995,1702.1409499533734
t9random1,27.0,32.0,1.146790240625E7,128233.2485876645,1952197.8749999998,1654.9835346612717
t9random1,28.0,32.0,1.1625423187499996E7,134785.44587613497,1971521.125,1434.651059069879
t9random1,29.0,32.0,1.1544255218750002E7,82743.01197771385,1991365.8125000002,1435.242554245136
t9random1,30.0,32.0,1.1467983125000002E7,36829.09647823578,2009930.96875,1976.870881687253
