TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t9minrun4,1.0,64.0,5160184.890625002,96207.5473847118,1279007.0,0.0
t9minrun4,2.0,64.0,5343965.5625,17170.57298031207,1329007.0,0.0
t9minrun4,3.0,64.0,5147093.109374999,64092.7976433376,1327082.0,0.0
t9minrun4,4.0,64.0,4941157.53125,10135.518617703014,1304007.0,0.0
t9minrun4,5.0,64.0,4790709.031250003,13270.234337195272,1284639.0,0.0
t9minrun4,6.0,64.0,5280489.640625001,1342380.2227669286,1343748.0,0.0
t9minrun4,7.0,64.0,4734559.812500001,64169.50331018159,1285135.0,0.0
t9minrun4,8.0,64.0,4877611.265625,70491.5133899655,1329007.0,0.0
t9minrun4,9.0,64.0,4754237.593749999,21489.06730728683,1311082.0,0.0
t9minrun4,10.0,64.0,4889949.859375001,13493.676197727316,1354639.0,0.0
t9minrun4,11.0,64.0,4887390.671875,25302.243327392247,1358805.0,0.0
t9minrun4,12.0,64.0,5100350.265625001,69990.31581974302,1418745.0,0.0
t9minrun4,13.0,64.0,4816451.84375,40283.02508391951,1369788.0,0.0
t9minrun4,14.0,64.0,4972267.625,63270.96854999101,1406560.0,0.0
t9minrun4,15.0,64.0,4944393.906250001,49961.96386703969,1406793.0,0.0
t9minrun4,16.0,64.0,5152665.984375,18398.241792716046,1454007.0,0.0
t9minrun4,17.0,64.0,5036951.218750001,117524.82347869081,1438285.0,0.0
t9minrun4,18.0,64.0,5150602.921875001,47377.65056497858,1483287.0,0.0
t9minrun4,19.0,64.0,5210108.718749999,32649.702451046418,1486299.0,0.0
t9minrun4,20.0,64.0,5364239.578124998,100219.48229472298,1529639.0,0.0
t9minrun4,21.0,64.0,5311773.437500002,52459.26696408027,1531416.0,0.0
t9minrun4,22.0,64.0,5517668.562499999,31537.235694744526,1581510.0,0.0
t9minrun4,23.0,64.0,5451688.125,43308.85489922975,1586400.0,0.0
t9minrun4,24.0,64.0,5671253.921875,74696.56412559014,1643723.0,0.0
t9minrun4,25.0,64.0,5395692.140624998,70918.62472409943,1596799.0,0.0
t9minrun4,26.0,64.0,5756951.109375001,1404358.6785807994,1642854.0,0.0
t9minrun4,27.0,64.0,5592088.484375,91941.23743810825,1637767.0,0.0
t9minrun4,28.0,64.0,5776896.468749999,77052.22077925377,1681527.0,0.0
t9minrun4,29.0,64.0,5649559.953125,56281.6270205219,1679403.0,0.0
t9minrun4,30.0,64.0,5945746.031249999,63755.784293567376,1730094.0,0.0
