TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t9random2,1.0,16.0,3.31787626875E7,2297187.147121852,1601367.2500000002,254.78500740826266
t9random2,2.0,16.0,3.21251189375E7,4065581.623916107,1629338.5625000002,342.0559347533468
t9random2,3.0,16.0,4.52762315625E7,4123101.9085333142,1634798.3125000002,305.4032784696258
t9random2,4.0,16.0,4.437691275E7,9824419.746974722,1624954.4374999995,289.42240612402094
t9random2,5.0,16.0,3.35631189375E7,4581545.816787641,1627609.5,222.68932020491897
t9random2,6.0,16.0,3.60966001875E7,6039224.717980514,1630942.1249999998,345.43921317645186
t9random2,7.0,32.0,2.5957315750000004E7,1778515.428145204,1634520.53125,263.1326152066482
t9random2,8.0,32.0,2.60548095E7,2200661.501687662,1637741.84375,349.41925177077576
t9random2,9.0,32.0,3.143746884375E7,6272283.244416789,1651593.0624999998,416.58805656302223
t9random2,10.0,32.0,2.558526253125E7,827667.1490336846,1665381.96875,529.5142316997616
t9random2,11.0,32.0,2.8329431312500004E7,4937365.511335969,1679228.1875,510.7946647295105
t9random2,12.0,32.0,2.946689696875E7,3227238.6711877943,1693054.0,670.3916525001698
t9random2,13.0,32.0,3.2451284499999993E7,5546621.288336671,1707213.65625,589.6974954065221
t9random2,14.0,16.0,3.53970564375E7,1.0061770677773835E7,1720704.8125000002,701.1656217803743
t9random2,15.0,32.0,2.9462825156249996E7,2791737.580150456,1734754.2187500002,717.5430181270458
t9random2,16.0,16.0,3.85680189375E7,3464426.3667844045,1748214.0000000002,680.8583797921912
t9random2,17.0,16.0,3.42729689375E7,1740643.0087904294,1767668.125,925.9078337862177
t9random2,18.0,16.0,3.68077064375E7,3470335.8519096286,1787191.8749999998,926.7415227559817
t9random2,19.0,16.0,3.14841126875E7,2201663.8905704557,1805956.6875,1032.5113538520177
t9random2,20.0,16.0,3.750074387500001E7,7299300.022315388,1825663.25,1169.4697658911393
t9random2,21.0,32.0,3.358608134374999E7,8236596.050005721,1844692.71875,872.9252354777192
t9random2,22.0,32.0,2.854071259375E7,1956738.0780344428,1864181.65625,1271.0668267341973
t9random2,23.0,32.0,2.7048025093749996E7,1568643.2633746688,1883015.5625,1311.192240955513
t9random2,24.0,32.0,2.6897343812499996E7,1536903.839237759,1902523.5625,1162.1978882495107
t9random2,25.0,32.0,2.7159534437500004E7,1468553.570917072,1921703.2812499995,1266.7540493610263
t9random2,26.0,32.0,2.8416346875000004E7,3482130.143107564,1941187.8125000002,1467.9853527769471
t9random2,27.0,16.0,3.1894312562499993E7,3394994.29984279,1960012.5000000002,1363.531591126512
t9random2,28.0,16.0,3.40080438125E7,4008129.5557578,1979229.5625,1650.5399911846666
t9random2,29.0,16.0,3.52707000625E7,3085701.3995179003,1998736.6250000002,1359.5709556081538
t9random2,30.0,16.0,3.2094618750000004E7,2450648.2334867376,2017391.375,1630.6459609614753
