TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t9random1,1.0,16.0,3.2434181812500004E7,5861257.2251423905,1566570.1875,146.6602508066594
t9random1,2.0,32.0,2.8328295875000007E7,3573355.002755102,1566517.0937500002,128.4991174502063
t9random1,3.0,16.0,3.599902424999999E7,1.2194776962744623E7,1573321.5000000002,224.31198511597486
t9random1,4.0,32.0,2.8951279843749996E7,6872513.196126483,1572806.4375000002,188.32846006639332
t9random1,5.0,32.0,3.2219928812500004E7,7478029.714541769,1584770.40625,199.43999976953174
t9random1,6.0,16.0,3.1812700562500004E7,5044255.023559666,1595050.6875000002,229.00093704322185
t9random1,7.0,32.0,2.9232097375E7,2274827.9211545587,1603680.9062499995,372.5389227878691
t9random1,8.0,32.0,3.0335291124999993E7,2547302.836346938,1610979.2812499998,402.00740118166175
t9random1,9.0,16.0,3.2156369312500004E7,4033622.629897693,1627626.3750000002,405.9914407964409
t9random1,10.0,32.0,3.1426562968749996E7,2605016.2329513007,1643844.2500000002,406.46525066731084
t9random1,11.0,32.0,3.18601846875E7,7545647.467291898,1659599.7500000002,497.63232962084453
t9random1,12.0,32.0,2.773674709375E7,3162210.4998378986,1675197.7500000002,675.0726603664383
t9random1,13.0,32.0,3.2272222187499993E7,7194378.31867995,1690485.6875,730.8886521038569
t9random1,14.0,16.0,3.25116440625E7,5820896.442162731,1705177.6875,854.9350633235189
t9random1,15.0,32.0,3.1068353593749996E7,6644671.4443469215,1720498.5625000002,846.5792243284101
t9random1,16.0,32.0,2.9958494124999996E7,4123761.5489787636,1734992.0625,879.7781588963106
t9random1,17.0,16.0,3.89525255625E7,6241885.157240848,1754913.0624999998,1001.850652126662
t9random1,18.0,32.0,3.100246603125E7,8152168.368315126,1775237.8125000002,740.4040064329358
t9random1,19.0,32.0,2.9124647093749996E7,3583493.3231255026,1795057.9375,965.9578878652211
t9random1,20.0,32.0,3.2179509562499996E7,1.2618765134162335E7,1814610.8124999995,1101.4313396520433
t9random1,21.0,32.0,3.0639878281250004E7,2791814.3562028506,1834519.5624999998,1158.7319525684984
t9random1,22.0,16.0,3.2014850249999996E7,4827230.344507453,1853689.3125000005,1323.9145349429944
t9random1,23.0,16.0,3.369846275E7,8611771.96657228,1874041.9375000002,1149.6683851586833
t9random1,24.0,32.0,2.5692829968749996E7,1198970.253238693,1893429.7812499998,1107.8612855516608
t9random1,25.0,32.0,2.5400702124999996E7,2038564.0498550767,1913224.5312500002,1520.5476938638258
t9random1,26.0,32.0,3.0746848031249996E7,2770361.577357245,1932673.75,1551.9983787819779
t9random1,27.0,16.0,3.1394713625E7,3541294.400839517,1951812.1875,1441.1977989968818
t9random1,28.0,32.0,2.9057145093750004E7,5694482.884064293,1971962.15625,1243.3853400417045
t9random1,29.0,16.0,3.2520662749999996E7,1.0982329940859854E7,1991054.4375,1598.8539632603522
t9random1,30.0,32.0,3.26799314375E7,4215388.661655322,2010718.4062500002,1897.186743395195
