TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t9random3,1.0,16.0,4.9317206375E7,1.6393036023399187E7,1566501.9374999998,175.80082242884708
t9random3,2.0,32.0,2.6464762562499993E7,1198090.7109196656,1566563.5937500002,162.36872799480705
t9random3,3.0,32.0,3.1717153187500004E7,5548845.47717136,1624694.28125,202.21806089767355
t9random3,4.0,16.0,3.64648688125E7,4184682.1028128974,1572873.1249999998,194.93037218453063
t9random3,5.0,16.0,3.7130325125E7,7095500.661472272,1582005.0625,163.2799104809439
t9random3,6.0,16.0,3.2534450125E7,2890470.088233652,1645079.2499999998,272.39664706711903
t9random3,7.0,32.0,3.706106578125E7,7572829.114216198,1572693.09375,267.6256845977915
t9random3,8.0,16.0,3.6711393875E7,2672851.843032104,1611022.4375000002,395.4686618431986
t9random3,9.0,32.0,2.6972606343750004E7,2360397.7925772844,1612619.8125,432.0173560955174
t9random3,10.0,32.0,3.0465100062500004E7,6308060.454916191,1640119.6562499998,418.6990303597288
t9random3,11.0,16.0,5.0066093875E7,7914869.168554425,1675580.6874999998,358.2307857141656
t9random3,12.0,16.0,3.271150625E7,2039372.1440576592,1724451.9375,447.2816366675397
t9random3,13.0,32.0,2.9608215687500004E7,4428645.58249063,1660190.3437500002,684.4712868632955
t9random3,14.0,32.0,2.6085128156249996E7,1846446.883884693,1673918.1875,770.5433959226347
t9random3,15.0,32.0,2.8902084406250004E7,2973199.9680827195,1706320.3750000002,757.189188870204
t9random3,16.0,32.0,2.477345003125E7,786441.4674341828,1734828.5937500002,777.4096715240058
t9random3,17.0,32.0,3.398273440625E7,7851639.036824792,1733847.9062499998,800.25211186245
t9random3,18.0,32.0,3.04946813125E7,3536353.386419346,1759493.21875,887.453323965705
t9random3,19.0,32.0,3.020473459375E7,3868579.769441576,1792542.4062499998,860.7038327448229
t9random3,20.0,32.0,3.385022834375E7,4836287.355013938,1810551.375,1197.98459115517
t9random3,21.0,16.0,3.4430819E7,5198042.384270114,1840799.6875,1100.9884479412306
t9random3,22.0,16.0,3.2168718937500004E7,4490292.798649588,1869103.9375,931.6136158121767
t9random3,23.0,32.0,3.0857428500000004E7,2906260.0338136605,1902056.2187499998,1067.7875146354584
t9random3,24.0,16.0,3.548285668750001E7,7900130.795263208,1941903.625,1193.1931318944103
t9random3,25.0,16.0,3.512145662499999E7,2782608.85641399,1874741.1874999998,1369.495294807498
t9random3,26.0,32.0,3.1815497249999993E7,5127776.071241076,1901817.7499999998,1243.3575511493193
t9random3,27.0,32.0,3.451615668749999E7,6892068.701168414,1921073.46875,1434.8658470365335
t9random3,28.0,16.0,3.3044900125E7,2515864.159520565,1939789.5625000002,1713.8969618484039
t9random3,29.0,32.0,2.8775615749999993E7,1971184.6595963393,1964916.5000000002,1619.5213550166152
t9random3,30.0,32.0,2.760015321875E7,1002073.2153724214,1996994.0312499998,1668.2122454190253
